Comuna,Propiedad,Precio,Direccion,Tamaño en m2,Dormitorios,Baños,ID
Tomé,Casa,221248916,"Pingueral, Tomé, Biobío",559,4,2,0
Tomé,Casa,291797402,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",1068,4,4,1
Tomé,Casa,299923405,"Bella Casa Con Piscina 3d 2b T350 M2 , Tomé, Tomé, Biobío",350,3,2,2
Tomé,Casa,254861021,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",560,4,3,3
Tomé,Casa,1244756006,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",875,6,4,4
Tomé,Casa,197609633,"Alto Tome/., Tomé, Biobío",1000,4,3,5
Tomé,Casa,135000000,"Casa Bellavista Tome 3d2b3e1b Condominio, Tomé, Biobío",100,3,2,6
Tomé,Casa,195762814,"Pingueral, Las Palmas, Pingueral, Tomé, Biobío",450,3,2,7
Tomé,Casa,185000000,"Avenida Cumbres, Ciudad de Tomé, Tomé, Biobío",638,6,6,8
Tomé,Casa,275176031,"Tomé, Pingueral, Tomé, Biobío",491,4,3,9
Tomé,Casa,313959230,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",713,3,2,10
Tomé,Casa,1244756006,"Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",875,5,6,12
Tomé,Casa,217924641,"Av. Latorre/ Costanera Bellavista, Ciudad de Tomé, Tomé, Biobío",432,5,2,13
Tomé,Casa,254861021,"Dichato, Pingueral, Tomé, Biobío",554,3,2,14
Tomé,Casa,172492894,"Punta De Parra, Tomé, Chile, Tomé, Biobío",125,2,3,15
Tomé,Casa,454317473,"Las Tuninas, Pingueral, Tomé, Biobío",700,5,3,16
Tomé,Casa,88000000,"Sector Frutillares, Tomé, Ciudad de Tomé, Tomé, Biobío",216,3,1,17
Tomé,Casa,280000000,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",736,6,4,18
Tomé,Casa,387795053,"Avenida Las Palmeras, Tomé, Chile, Pingueral, Tomé, Biobío",570,5,3,19
Tomé,Casa,443236559,"Avenida La Cumbre 78, Pingueral, Tomé, Biobío",665,6,6,20
Tomé,Casa,270000000,"Dichato, Tomé, Dichato, Tomé, Biobío",500,3,3,21
Tomé,Casa,1329709680,"Avenida Pingueral C - 6, Pingueral, Tomé, Biobío",4288,4,5,22
Tomé,Casa,198000000,"Rancho Blanco Sector Frutillares, Tomé, Ciudad de Tomé, Tomé, Biobío",567,6,3,23
Tomé,Casa,214231003,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",500,4,3,24
Tomé,Casa,299812596,"Las Araucarias, Tomé, Bío Bío, Chile, Pingueral, Tomé, Biobío",446,4,3,25
Tomé,Casa,258554659,"Tomé, Biobío",300,4,3,26
Tomé,Casa,1330743898,"Pingueral, Pingueral, Tomé, Biobío",4288,4,5,27
Tomé,Casa,280000000,"Pingueral, Tomé, Pingueral, Tomé, Biobío",504,4,3,28
Tomé,Casa,258554659,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",686,3,3,29
Tomé,Casa,313959230,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",476,3,2,30
Tomé,Casa,180000000,"Av. Pingueral 158, Tomé, Bío Bío, Chile, Pingueral, Tomé, Biobío",638,6,6,31
Tomé,Casa,302841379,"Pasaje La Cascada 1, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",736,4,3,32
Tomé,Casa,277022850,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",540,3,3,33
Tomé,Casa,395000000,"Pingueral, Tomé, Pingueral, Tomé, Biobío",1574,5,6,34
Tomé,Casa,75000000,"Villa Kelleñ, Tomé, Ciudad de Tomé, Tomé, Biobío",257,5,2,35
Tomé,Casa,253309694,"Av. Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",580,4,2,36
Tomé,Casa,325040144,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",479,4,4,37
Tomé,Casa,267788754,"Los Castaños, Ciudad de Tomé, Tomé, Biobío",1000,4,3,38
Tomé,Casa,313959230,"Pingueral, Tomé, Pingueral, Tomé, Biobío",713,4,2,39
